Name;X-coordinate;Y-coordinate;Z-coordinate;X-velocity;Y-velocity;Z-velocity;mass
sun;0.0154355;-0.00298265;-0.000408362;5.55461e-05;0.00305942;-1.89087e-05;39.4784
jupiter;-5.45633;-0.0330813;0.122151;-0.0316498;-2.61726;0.0116036;0.0376937
saturn;-9.48013;-1.54862;0.404494;0.211982;-2.00804;0.0263993;0.0112863
uranus;-10.0043;15.7708;0.187915;-1.21988;-0.830453;0.0127444;0.00172372
neptune;24.9317;16.3982;-0.910931;-0.634138;0.967724;-0.00531722;0.00203369
sun;0.0154359;-0.00295206;-0.000408548;4.17587e-05;0.00305921;-1.8576e-05;39.4784
jupiter;-5.45651;-0.0592532;0.122264;-0.0184802;-2.61719;0.0113089;0.0376937
saturn;-9.47797;-1.56869;0.404756;0.2162;-2.00735;0.0262189;0.0112863
uranus;-10.0165;15.7625;0.188043;-1.21927;-0.831409;0.012733;0.00172372
neptune;24.9254;16.4079;-0.910984;-0.634508;0.96748;-0.00530368;0.00203369
sun;0.0154361;-0.00292147;-0.000408731;2.79742e-05;0.00305894;-1.8243e-05;39.4784
jupiter;-5.45656;-0.0854238;0.122374;-0.00531302;-2.61706;0.011014;0.0376937
saturn;-9.47576;-1.58876;0.405017;0.220415;-2.00665;0.0260385;0.0112863
uranus;-10.0286;15.7542;0.18817;-1.21867;-0.832364;0.0127216;0.00172372
neptune;24.919;16.4176;-0.911037;-0.634879;0.967236;-0.00529015;0.00203369
sun;0.0154363;-0.00289088;-0.00040891;1.4193e-05;0.0030586;-1.79098e-05;39.4784
jupiter;-5.45649;-0.111592;0.122482;0.00785144;-2.61686;0.0107188;0.0376937
saturn;-9.47352;-1.60882;0.405275;0.224628;-2.00594;0.025858;0.0112863
uranus;-10.0408;15.7458;0.188297;-1.21806;-0.833319;0.0127102;0.00172372
neptune;24.9127;16.4273;-0.91109;-0.635249;0.966992;-0.00527661;0.00203369
sun;0.0154363;-0.0028603;-0.000409085;4.1518e-07;0.0030582;-1.75764e-05;39.4784
jupiter;-5.45628;-0.137758;0.122586;0.021013;-2.6166;0.0104235;0.0376937
saturn;-9.47123;-1.62887;0.405532;0.228839;-2.00523;0.0256774;0.0112863
uranus;-10.053;15.7375;0.188424;-1.21745;-0.834274;0.0126988;0.00172372
neptune;24.9063;16.4369;-0.911142;-0.635619;0.966748;-0.00526307;0.00203369
sun;0.0154362;-0.00282972;-0.000409258;-1.33589e-05;0.00305774;-1.72429e-05;39.4784
jupiter;-5.45593;-0.163921;0.122687;0.0341712;-2.61628;0.010128;0.0376937
saturn;-9.4689;-1.64891;0.405787;0.233047;-2.0045;0.0254968;0.0112863
uranus;-10.0652;15.7291;0.188551;-1.21684;-0.835228;0.0126873;0.00172372
neptune;24.9;16.4466;-0.911195;-0.635989;0.966504;-0.00524953;0.00203369
sun;0.0154359;-0.00279915;-0.000409427;-2.71289e-05;0.00305722;-1.69091e-05;39.4784
jupiter;-5.45546;-0.19008;0.122785;0.047326;-2.61589;0.00983234;0.0376937
saturn;-9.46653;-1.66895;0.40604;0.237253;-2.00377;0.0253162;0.0112863
uranus;-10.0773;15.7208;0.188678;-1.21623;-0.836181;0.0126759;0.00172372
neptune;24.8936;16.4563;-0.911247;-0.636359;0.966259;-0.00523599;0.00203369
sun;0.0154355;-0.00276859;-0.000409593;-4.08947e-05;0.00305663;-1.65752e-05;39.4784
jupiter;-5.45486;-0.216235;0.122881;0.0604771;-2.61544;0.00953648;0.0376937
saturn;-9.46411;-1.68898;0.406291;0.241456;-2.00303;0.0251355;0.0112863
uranus;-10.0895;15.7124;0.188804;-1.21562;-0.837135;0.0126645;0.00172372
neptune;24.8872;16.4659;-0.911299;-0.636729;0.966014;-0.00522245;0.00203369
sun;0.0154349;-0.00273803;-0.000409755;-5.46559e-05;0.00305598;-1.6241e-05;39.4784
jupiter;-5.45412;-0.242384;0.122973;0.0736241;-2.61493;0.00924044;0.0376937
saturn;-9.46165;-1.709;0.406541;0.245657;-2.00228;0.0249547;0.0112863
uranus;-10.1016;15.704;0.188931;-1.21501;-0.838087;0.012653;0.00172372
neptune;24.8809;16.4756;-0.911352;-0.637099;0.96577;-0.00520891;0.00203369
sun;0.0154343;-0.00270747;-0.000409914;-6.84124e-05;0.00305527;-1.59067e-05;39.4784
jupiter;-5.45325;-0.268527;0.123063;0.0867668;-2.61436;0.00894425;0.0376937
saturn;-9.45916;-1.72902;0.406789;0.249855;-2.00152;0.0247739;0.0112863
uranus;-10.1138;15.6956;0.189057;-1.21439;-0.83904;0.0126416;0.00172372
